Name,Assignee,Category,Date Due,Date Requested,Due Date,Priority,Status
Germantown Fliers - Guerilla marketing,Pablo Martin,Marketing,,,,Medium,Future Ideas
One Hotels Partnership Kick Off,Pablo Martin,Partnerships,,,,High,On Hold / Cancelled
"Yoga & Pilates: $2500 / target ",Pablo Martin,Marketing,,,,Medium,Future Ideas
Follow Up from Previous Organizers who have done an event to get second one on the books,Pablo Martin,"Marketing, Partnerships",,,,Medium,In progress
"Susan Amassyali Partnership Intros ","Aditya Khilnani, Pablo Martin","Marketing, Partnerships",,,,High,In progress
Alliance Bernstein,"Aditya Khilnani, Pablo Martin",Partnerships,,,,,In progress
Diego Bridgestone,Aditya Khilnani,Partnerships,,,,,In progress
Jeremy Nobles - Residential Partnership,Aditya Khilnani,,,,,,Not started
M Street Event  - early June,Aditya Khilnani,Buyout,,,,,Not started
Student Ambassadors,Aditya Khilnani,"Hiring, Marketing",,,,,Not started
CMA Recovery Party 2026,Aditya Khilnani,Buyout,"June 8, 2025",,,Medium,In progress
One Garage (Rob Mirhadi & Andrew Mirhass) out for a game,Pablo Martin,"Marketing, Partnerships",,,,Medium,
Merchandise Ordering,Marcus Y,,,,,,Future Ideas
Lawrence YPO,Aditya Khilnani,,,,,,Not started
100% Payment from Players - Report Audit,Scott Mitchell,Operations,,,,High,In progress
"Get Cards on File ",Marcus Y,"Operations, Pro Shop",,,,High,Done
Update Programming Descriptions on PlaybyPoint,Sebastián Arce,Marketing,,,,Medium,Done
Report PlayByPoint Bugs and Input Feature Requests,Marcus Y,Playing Experience,,,,Low,Ongoing
Filling Programs: target TBD,Marcus Y,Marketing,,,,Medium,Not started
May Pro Shop Revenue Target: $10k,Marcus Y,Pro Shop,,,,High,In progress
"Moneyed Check Printed ",Marcus Y,Marketing,"May 15, 2025","May 1, 2025",,Medium,Done
"After every visit for a new person from events, add $20 club credit to new players (redeemable for 10 days)",Marcus Y,"Marketing, Operations",,,,Medium,Not started
"Kick off Youth Program Marketing - 20 kids target in June ",Aditya Khilnani,Marketing,"June 1, 2025","January 1, 2025",,Medium,In progress
"Lessons / Clinics Target per Week: 30 hours ",Sebastián Arce,"Marketing, Playing Experience",,,,,In progress
Share Final Onboarding Kit for Welcome Center,Aditya Khilnani,Culture,,,,,In progress
Chamber of Commerce Outbound,Aditya Khilnani,Partnerships,"May 9, 2025","May 1, 2025",,High,In progress
"Open Games Policy with Team & Goals / Tracking ",Aditya Khilnani,Marketing,"May 1, 2025","April 1, 2025",,High,In progress
Retention Strategy & Implementation,Aditya Khilnani,Marketing,"May 31, 2025","May 1, 2025",,High,Not started
"Ambassador Expectations & Change in Program (Y2) ",Pablo Martin,Operations,"January 30, 2026","December 1, 2025",,Medium,In progress
Court 6 Levelling,Pablo Martin,Site Improvement,,,,High,On Hold / Cancelled
"Netting behind Court 4, 5 & 6 ",Pablo Martin,Site Improvement,"May 25, 2025","May 1, 2025",,,In progress
Mars Intro Chat,Aditya Khilnani,Partnerships,"May 23, 2025","May 1, 2025",,Medium,On Hold / Cancelled
Launch Sensa Team D1,Sebastián Arce,"Marketing, Membership Sales, Playing Experience",,,,High,Done
Launch Sensa Team D2,Sebastián Arce,"Marketing, Membership Sales, Playing Experience",,,,High,Done
WhatsApp Best Practices & Owners,Aditya Khilnani,Marketing,"May 9, 2025","May 1, 2025",,Medium,Not started
"Free Parking for Members at Neuhoff ",,,,,,,Not started
"Vendor List ",Aditya Khilnani,,,,,,Future Ideas
2026 Germantown Residents Benefit?,Pablo Martin,"Marketing, Partnerships","May 16, 2025",,,High,Future Ideas
"Nashville Hotels to offer Sensa as a sports perk to visitor ",Aditya Khilnani,"Marketing, Partnerships",,,,Medium,In progress
"Launch 5 Pack Clinics ",Pablo Martin,Marketing,"May 21, 2025",,,Medium,Future Ideas
Membership Push,"Sebastián Arce, Scott Mitchell","Marketing, Playing Experience",,,,,In progress
"Broadway Guerilla Marketing ",Sebastián Arce,,,,,,Future Ideas
Intern for Team Nashville,Aditya Khilnani,Hiring,"March 31, 2026",,,High,In progress
"Volley Awareness Push ",Marcus Y,,,,,Low,In progress
"Update team on marketing request process ",Aditya Khilnani,,"June 5, 2025",,,,Future Ideas
Tennis Leagues - get Morgan & Ben Kelly out for a game,Aditya Khilnani,,,,,Medium,In progress
"Beer & Wine License ",Aditya Khilnani,"Marketing, Site Improvement",,"April 14, 2025",,Medium,In progress
Four Seasons Partnership Alignment,Pablo Martin,Partnerships,"May 31, 2025",,,High,On Hold / Cancelled
"List Sensa Rackets, Shoes & Best Sellers into PBP Store for Visibility",Marcus Y,"Marketing, Pro Shop","May 8, 2025",,,Low,Done
Sensa Merch & Uniforms Sensa Logoed,Marcus Y,"Culture, Pro Shop","May 23, 2025",,,Medium,In progress
Retention Strategy,Aditya Khilnani,"Customer Experience, Marketing, Operations","May 31, 2025","May 1, 2025",,High,In progress
"Hinge / Bumble ",Pablo Martin,Partnerships,,,,Low,Future Ideas
"Susan & Sharon: growing women's clinics & events  ",Arianna Gil,,,,,,In progress
Tractor Supply (corporate),Aditya Khilnani,"Buyout, Marketing",,,,Low,Not started
"Cash Tournament - 16+ teams ",Sebastián Arce,"Customer Experience, Marketing","May 17, 2025",,,Medium,Done
Youth Program / Schools?,Sebastián Arce,,,,,,Not started
USTA Shop Promo,Marcus Y,"Customer Experience, Marketing","May 10, 2025","May 9, 2025",,High,Done
Juan Moreno Onboarding,Marcus Y,"Hiring, Pro Shop",,,,High,Done
Custom Named Shirts,Marcus Y,Pro Shop,,,,Medium,In progress
Sid Mashburn Event,Pablo Martin,"Marketing, Partnerships",,,,Medium,In progress
"Roof Covering Solution for Nashville ",Aditya Khilnani,,,,,High,On Hold / Cancelled
Detox House Creative Comms,Pablo Martin,,,,,,
Monthly Whatsapp Messaging,Marcus Y,,,,,High,In progress
Update Membership Pricing,Marcus Y,,,,,High,Done
Staff Scheduling,Marcus Y,Pro Shop,,,,High,In progress
Shoe Order,Marcus Y,,,,,High,In progress
Shop Maintenance,Marcus Y,,,,,,Ongoing
Programming in PBP,Marcus Y,,,,,,Ongoing
Google Form for Team Sensa Gear,Marcus Y,,"May 15, 2025","May 14, 2025",,High,Done
Swish Tournament Connect,Marcus Y,"Operations, Playing Experience",,,,Low,Not started
Wifi In Pro Shop,Pablo Martin,,,,,,In progress
Rev tracking - Square + PBP,Marcus Y,,,,,,Done
Maria Onboarding,Marcus Y,,,,,,Done
"1 year anniversary ",Marcus Y,,,,,,Not started
Celsius,Pablo Martin,,,,,,In progress
Vuori,Pablo Martin,,,,,,In progress
WATR,Pablo Martin,,,,,,In progress
Torch / Alex Valley Event,Aditya Khilnani,Partnerships,"March 20, 2026",,,High,In progress
Full Coach Hiring,"Aditya Khilnani, Pablo Martin",Hiring,"April 19, 2026",,,High,In progress
At Risk Players/Members,"Pablo Martin, Maria Sanz","Customer Experience, Membership Sales",,,,High,In progress
"Schedule Demo Days with Leading Racket Brands so calendar is well planned in advance and we help drive pro shop sales / new experiences for our members","Marcus Y, Pablo Martin, Maria Sanz",,,,,,Not started
Sensa Logo Ball Order,Marcus Y,,,,,,Not started
"Find 'Evan' replacements for facility improvement & fixing site stuff",Pablo Martin,,,,,Low,Not started
"On site manager during peak times  ",Pablo Martin,,,,,,Future Ideas
Sunday Strategy,Pablo Martin,,,,,,Future Ideas
"League Playbook ",Pablo Martin,,,,,,Not started
Shuffleboard Purchase,Aditya Khilnani,,,,,,Not started
"Marketing Plan for New Sensa Wilson Merch ","Marcus Y, Arianna Gil",Pro Shop,,,,,Not started
Sensa HR Policies,Aditya Khilnani,,,,,,Not started
Finalize Fonsi Dates & Training Plan,Aditya Khilnani,Hiring,"December 17, 2025",,,High,Done
Finalize ratings updates for players with gap of +/- 0.5,Pablo Martin,,,,,,In progress
"Warranty Letter for Padel Galis Turf Claim ",Pablo Martin,Site Improvement,"December 12, 2025",,,High,Done
Onboard Bullpadel Relationship,Aditya Khilnani,,,,,Low,Done
Adidas Onboarding & 2026 Event,Aditya Khilnani,,,,,,In progress
Finalize Utilization Tracking in Dashboard,,,,,,,In progress
Christian Sponsorship,Pablo Martin,,,,,,In progress
DM coaches for Director of Padel role at Sensa  ,Pablo Martin,Hiring,,,,High,In progress
Special Offers / Promos for 2026,Pablo Martin,Marketing,"January 16, 2026",,,High,Not started
Confirm USPA Nashville 2026 Dates,Pablo Martin,Programming,,,,High,In progress
"Sauna for Jan & Feb ",Pablo Martin,Site Improvement,"January 16, 2026",,,High,On Hold / Cancelled
Partnership Planning for 2026,Pablo Martin,Partnerships,"January 26, 2026",,,High,Not started
Sign F&B Agreement with Fish Monger,Aditya Khilnani,,"January 16, 2026",,,High,In progress
Finalize Design of Fish Monger Space,Aditya Khilnani,Site Improvement,"January 23, 2026",,,High,In progress
"Manager Schedule for Events ",Pablo Martin,Hiring,"January 30, 2026",,,Medium,Not started
100 Google Reviews Plan,"Pablo Martin, Arianna Gil",Marketing,"March 2, 2026",,,Medium,Not started
Website Landing Page for Memberships,"Aditya Khilnani, Arianna Gil",Marketing,"January 28, 2026",,,High,Done
"Update PBP with Fonsi for coaching - lessons, 5 pack & bootcamp",Maria Sanz,Programming,"January 13, 2026",,,High,Not started
"Launch Play with a Pro feature on PBP / Sensa app with Fonsi as the face of the campaign","Pablo Martin, Maria Sanz, Arianna Gil",,,,,,Done
"Bootcamp Pre Marketing - ",Pablo Martin,,,,,,Done
Referral Program Website Page with FAQs,"Arianna Gil, Aditya Khilnani",Marketing,"February 27, 2026",,,Medium,In progress
Social Strategy for Other Platforms,Arianna Gil,,,,,,Not started
3 Open Matches per Day posted in whatsapp,,,,,,,Not started
"LinkedIn & Zoom Banner & Signature for the Team ",Arianna Gil,,,,,Low,Not started
AI Review to Improve Creatives,Arianna Gil,,,,,,Not started
"Leasing Slide ",Arianna Gil,,,,,,Not started
Private Events Deck,Arianna Gil,Marketing,"February 27, 2026",,,,Not started
Sensa Padel Letterhead,Arianna Gil,,"February 24, 2026",,,,Done
"Heat Printing ",Pablo Martin,,,,,,Done
"Private Events Email ",Arianna Gil,,,,,,Not started
"Rubicon, BCG, Corporate Partners - organize a team padel day / clinic with Fonsi","Pablo Martin, Arianna Gil","Marketing, Partnerships","March 3, 2026",,,,Not started
Process to report on payment collections,Tripp Hostetter,,"March 31, 2026",,,Low,Not started
Johnny Manziel / Louis Partnership,Scott Mitchell,,,,,,Not started
Referral Program,Arianna Gil,Marketing,"March 15, 2026",,,,Done
Richy Bailey Program Offering,"Pablo Martin, Aditya Khilnani",Programming,"March 13, 2026",,,Medium,In progress
Fonsi Email to Belle Meade CC,Arianna Gil,"Marketing, Programming","March 3, 2026",,,Medium,Done
Add FAQs to Sensa Website / Bottom Footer,Arianna Gil,,,,,,Not started
Review of Interest Options on Cash on Hand,Tripp Hostetter,Finance,,,,Medium,Not started
Evaluate new bookkeepers and recommend path forward,Tripp Hostetter,Finance,"March 16, 2026",,,High,Not started
"Develop Relationship with Trey from Simon Malls ",Tripp Hostetter,,,,,High,Not started
"Founding Membership Sales - 25 by March 31 ","Tripp Hostetter, Pablo Martin",Membership Sales,,,,High,In progress
"Strategy for Filling Lessons, Clinics & Games","Tripp Hostetter, Aditya Khilnani",,,,,,Not started
"8 Strategic Real Estate Leads per Month ","Tripp Hostetter, Aditya Khilnani",New Sites,"March 31, 2026",,,High,
Johnny Manziel / Louis Partnership,Tripp Hostetter,Partnerships,"March 31, 2026",,,Medium,Not started
Onboard 2025 Corporate Partners for 2026 Plans,"Tripp Hostetter, Aditya Khilnani",Partnerships,"March 31, 2026",,,High,Not started
Player Segmentation (from PBP Data),"Tripp Hostetter, Aditya Khilnani",,"April 24, 2026",,,Low,Not started
Finalize Utilization & Revenue Dashboards,Tripp Hostetter,"Finance, Operations","March 16, 2026",,,High,In progress
Non Member Target?,Tripp Hostetter,"Membership Sales, Playing Experience",,,,High,Not started
"Torch <> Sensa ","Tripp Hostetter, Aditya Khilnani",Partnerships,"March 31, 2026",,,Medium,Not started
Finalize Richie Dates & Training Plan,Aditya Khilnani,Hiring,"December 17, 2025",,,High,In progress
"Marketing Prioritization Calendar for 2026 (March - Dec) ",Aditya Khilnani,Marketing,"March 9, 2026",,,High,In progress
Real Estate Pipeline Funnel Expansion,Aditya Khilnani,New Sites,"March 13, 2026",,,High,In progress
"Litquidity Event Finalization ",Aditya Khilnani,Partnerships,"March 31, 2026",,,Medium,In progress
Sponsors for Each Sensa Program,Aditya Khilnani,Partnerships,"April 15, 2026",,,High,In progress
Contract Sponsor,Aditya Khilnani,,,,,,Not started
Membership Campaign - just once a week = All Access,"Arianna Gil, Aditya Khilnani",Marketing,,,,Medium,Not started
Fonsi Team Clinics on the Calendar,Pablo Martin,"Culture, Operations","March 6, 2026",,,High,In progress
"Ambassador Onboarding - Nico, Susan, Hannah, Jared",Pablo Martin,Partnerships,"March 9, 2026",,,Medium,In progress
Masha Mornings on the Cal & Registration Links shared,Pablo Martin,Partnerships,"March 13, 2026",,,Medium,Not started
USPA Youth Grant - ~$2000 for 1-2 youth clinics,Pablo Martin,Programming,,,,,Not started
Head Padel Demo Day,Aditya Khilnani,,,,,,In progress
Babolat Lamborghini Event,Aditya Khilnani,,,,,,In progress
Rey Dinner Night June Confirmed Friday (LIT),Pablo Martin,"Partnerships, Playing Experience",,,,,Not started
Rey Intro to Dealerships,Pablo Martin,Partnerships,"April 10, 2026",,,,In progress
"Ratings Strategy ",Pablo Martin,Playing Experience,,,,,In progress
Bali <> Nash Padel Holiday,Aditya Khilnani,,,,,,In progress
Fish Monger Implementation,Pablo Martin,,,,,,In progress
"Hannah Registration Links for Tuesday Padel Nights ",Pablo Martin,,,,,,Not started
"Padel Fast Onboarding for Leagues & Ladders ","Pablo Martin, Maria Sanz",Operations,"April 6, 2026",,,High,Not started
"Lounge Improvement Plan Ordered ",Pablo Martin,,,,,,In progress
